Auston Matthews,0.48975296913027555
William Nylander,0.4260302419241406
Andrei Kuzmenko,0.40783650727101756
Tyler Toffoli,0.3068332804651983
Chris Kreider,0.2858491865217747
Claude Giroux,0.2661123349138133
Mitchell Marner,0.23130955817595922
Pierre-Luc Dubois,0.21445504587794118
Logan Couture,0.20103865843413093
David Perron,0.1489657649152933
Nazem Kadri,0.1333767529630584
Drake Batherson,0.10834225235573977
Brock Boeser,0.10318156315009219
Zach Parise,0.09928766297078394
Blake Wheeler,0.06448189216396423
