Sidney Crosby,0.2719258390139585
J.T. Miller,0.25407879443090226
Jack Eichel,0.236569377085986
Artturi Lehkonen,0.23396026327298852
Joe Pavelski,0.1933538470475515
Valeri Nichushkin,0.15875111246322546
Erik Karlsson,0.13160347165673258
Nazem Kadri,0.1172526708475257
Tyler Seguin,0.10778903725792166
Oliver Bjorkstrand,0.10008652696324478
Brock Boeser,0.09312452231653352
Jordan Eberle,0.09081873848584578
Ivan Barbashev,0.06404494232541741
Jonathan Huberdeau,0.060865048049060386
William Karlsson,0.05075055038164773
